Connectivity,Regions,Type
0.646446218,after tp,permuted
0.553374233,after tp,permuted
0.96040873,after tp,permuted
0.294261294,after tp,permuted
0,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0.952380952,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0,across_tp,actual
0.75,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0.833333333,across_tp,actual
0.666666667,across_tp,actual
0.4,across_tp,actual
1,across_tp,actual
0.25,across_tp,actual
0.285714286,across_tp,actual
0,across_tp,actual
0,across_tp,actual
0,across_tp,actual
1,across_tp,actual
0.5,across_tp,actual
0.428571429,across_tp,actual
NaN,across_tp,actual
0.857142857,across_tp,actual
1,across_tp,actual
1,across_tp,actual
NaN,across_tp,actual
NaN,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0,across_tp,actual
NaN,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0.8,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
NaN,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0.666666667,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
1,across_tp,actual
0.941385911,across_tp,permuted
0.963740476,across_tp,permuted
0.892569048,across_tp,permuted
0.751727381,across_tp,permuted
0.699136868,across_tp,permuted
0.567630058,across_tp,permuted
0.986182143,across_tp,permuted
0.720053387,across_tp,permuted
0.956770535,across_tp,permuted
0.999833333,across_tp,permuted
0.999498998,across_tp,permuted
0.998715382,across_tp,permuted
1,across_tp,permuted
0.950822123,across_tp,permuted
0.945395395,across_tp,permuted
0.908554365,across_tp,permuted
0.986344931,across_tp,permuted
0.992536232,across_tp,permuted
0.869366667,across_tp,permuted
0.84056627,across_tp,permuted
0.661300835,across_tp,permuted
0.366071429,across_tp,permuted
0.524829329,across_tp,permuted
0.834095868,across_tp,permuted
0.941708333,across_tp,permuted
0.26865,across_tp,permuted
0.218666667,across_tp,permuted
0.94556424,across_tp,permuted
0.473672294,across_tp,permuted
0.674925163,across_tp,permuted
0.290833333,across_tp,permuted
0.776556961,across_tp,permuted
0.927760417,across_tp,permuted
0.97400163,across_tp,permuted
0.725252525,across_tp,permuted
0.804433333,across_tp,permuted
0.999555556,across_tp,permuted
1,across_tp,permuted
0.904214286,across_tp,permuted
0.857264286,across_tp,permuted
0.79205,across_tp,permuted
0.9998,across_tp,permuted
1,across_tp,permuted
0.997888889,across_tp,permuted
1,across_tp,permuted
0.999577778,across_tp,permuted
0.717058223,across_tp,permuted
0.985313095,across_tp,permuted
0.90635,across_tp,permuted
0.911406146,across_tp,permuted
0.988378571,across_tp,permuted
0.693621868,across_tp,permuted
0.695702671,across_tp,permuted
0.853995902,across_tp,permuted
0.483974359,across_tp,permuted
0.746938776,across_tp,permuted
0.522066199,across_tp,permuted
0.547931382,across_tp,permuted
0.970323981,across_tp,permuted
1,across_tp,permuted
0.970683333,across_tp,permuted
1,across_tp,permuted
0.470006923,across_tp,permuted
0.99882381,across_tp,permuted
1,across_tp,permuted
1,across_tp,permuted
1,across_tp,permuted
0.986768802,across_tp,permuted
