Value,Region,Type
0.336666666666667,before_TP,Permuted
0.360153256704981,after_TP,Permuted
0.708333333333333,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.333333333333333,after_TP,Actual
0.333333333333333,across_TP,Actual
0.313131313131313,before_TP,Permuted
0.355442176870748,after_TP,Permuted
0.813166666666667,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.284210526315789,before_TP,Permuted
0.942909090909091,after_TP,Permuted
1,across_TP,Permuted
0,before_TP,Actual
0.777777777777778,after_TP,Actual
1,across_TP,Actual
0.360544217687075,before_TP,Permuted
0.909363636363636,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.376666666666667,before_TP,Permuted
0.51502380952381,after_TP,Permuted
0.885190476190476,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.4,after_TP,Actual
0.4,across_TP,Actual
0.36,before_TP,Permuted
0.486904761904762,after_TP,Permuted
0.860571428571429,across_TP,Permuted
1,before_TP,Actual
0,after_TP,Actual
0.666666666666667,across_TP,Actual
0.28956228956229,before_TP,Permuted
0.396296296296296,after_TP,Permuted
0.838666666666667,across_TP,Permuted
0,before_TP,Actual
0.644444444444444,after_TP,Actual
1,across_TP,Actual
0.38,before_TP,Permuted
0.877579365079365,after_TP,Permuted
1,across_TP,Permuted
0.166666666666667,before_TP,Actual
0.777777777777778,after_TP,Actual
1,across_TP,Actual
0.373333333333333,before_TP,Permuted
0.872517316017316,after_TP,Permuted
1,across_TP,Permuted
0.166666666666667,before_TP,Actual
0.714285714285714,after_TP,Actual
1,across_TP,Actual
0.355,before_TP,Permuted
0.798585858585859,after_TP,Permuted
1,across_TP,Permuted
0.166666666666667,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.341666666666667,before_TP,Permuted
0.887406926406927,after_TP,Permuted
1,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.8,after_TP,Actual
1,across_TP,Actual
0.296666666666667,before_TP,Permuted
0.897130591630592,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
0,after_TP,Actual
1,across_TP,Actual
0.5,before_TP,Permuted
0.397260273972603,after_TP,Permuted
0.702020202020202,across_TP,Permuted
0,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.51,before_TP,Permuted
0.789784992784993,after_TP,Permuted
0.983142857142857,across_TP,Permuted
0,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.458333333333333,before_TP,Permuted
0.662666666666667,after_TP,Permuted
0.9265,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.333333333333333,after_TP,Actual
1,across_TP,Actual
0.54,before_TP,Permuted
0.525773195876289,after_TP,Permuted
0.919166666666667,across_TP,Permuted
1,before_TP,Actual
0.4,after_TP,Actual
1,across_TP,Actual
0.720666666666667,before_TP,Permuted
0.646,after_TP,Permuted
0.988333333333333,across_TP,Permuted
0,before_TP,Actual
NaN,after_TP,Actual
1,across_TP,Actual
0.446808510638298,before_TP,Permuted
NaN,after_TP,Permuted
0.765432098765432,across_TP,Permuted
0,before_TP,Actual
NaN,after_TP,Actual
NaN,across_TP,Actual
0.436170212765957,before_TP,Permuted
NaN,after_TP,Permuted
0.666666666666667,across_TP,Permuted
1,before_TP,Actual
0,after_TP,Actual
0.5,across_TP,Actual
0.52,before_TP,Permuted
0.454545454545455,after_TP,Permuted
0.884210526315789,across_TP,Permuted
NaN,before_TP,Actual
NaN,after_TP,Actual
1,across_TP,Actual
NaN,before_TP,Permuted
NaN,after_TP,Permuted
0.423913043478261,across_TP,Permuted
0,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.462365591397849,before_TP,Permuted
0.567164179104478,after_TP,Permuted
0.818181818181818,across_TP,Permuted
NaN,before_TP,Actual
0,after_TP,Actual
0.5,across_TP,Actual
NaN,before_TP,Permuted
0.48780487804878,after_TP,Permuted
0.54,across_TP,Permuted
NaN,before_TP,Actual
1,after_TP,Actual
0,across_TP,Actual
NaN,before_TP,Permuted
0.417721518987342,after_TP,Permuted
0.51,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.5,after_TP,Actual
1,across_TP,Actual
0.643333333333333,before_TP,Permuted
0.679251700680272,after_TP,Permuted
0.961166666666667,across_TP,Permuted
0.333333333333333,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.552188552188552,before_TP,Permuted
0.992848484848485,after_TP,Permuted
1,across_TP,Permuted
0,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.633333333333333,before_TP,Permuted
0.699,after_TP,Permuted
0.966333333333333,across_TP,Permuted
0.333333333333333,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.663333333333333,before_TP,Permuted
0.987424242424243,after_TP,Permuted
1,across_TP,Permuted
0.714285714285714,before_TP,Actual
0,after_TP,Actual
0.5,across_TP,Actual
0.75697619047619,before_TP,Permuted
0.0529680365296804,after_TP,Permuted
0.469097222222222,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.51685393258427,before_TP,Permuted
0.981095238095238,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
0.333333333333333,after_TP,Actual
1,across_TP,Actual
0.955238095238095,before_TP,Permuted
0.659349593495935,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
NaN,after_TP,Actual
NaN,across_TP,Actual
1,before_TP,Permuted
0.473684210526316,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.652173913043478,before_TP,Permuted
0.951349206349206,after_TP,Permuted
0.998333333333333,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.905119047619048,before_TP,Permuted
0.252873563218391,after_TP,Permuted
1,across_TP,Permuted
