before_tp,after_tp,frequency,white_matter_connection,grey_matter_connection
superiorfrontal,rostralmiddlefrontal,1,FALSE,FALSE
caudalanteriorcingulate,superiorfrontal,1,TRUE,TRUE
superiorfrontal,superiorfrontal,1,FALSE,FALSE
superiorfrontal,superiorfrontal,1,FALSE,FALSE
caudalanteriorcingulate,superiorfrontal,1,TRUE,TRUE
superiorfrontal,superiorfrontal,1,TRUE,TRUE
superiorfrontal,superiorfrontal,1,FALSE,TRUE
paracentral,superiorfrontal,1,TRUE,TRUE
precentral,superiorfrontal,1,TRUE,TRUE
precentral,superiorfrontal,1,FALSE,FALSE
precentral,superiorfrontal,1,FALSE,FALSE
superiorparietal,superiorfrontal,1,FALSE,FALSE
supramarginal,superiorfrontal,1,FALSE,FALSE
caudalanteriorcingulate,supramarginal,1,FALSE,FALSE
superiorfrontal,supramarginal,1,FALSE,FALSE
superiorfrontal,supramarginal,1,FALSE,FALSE
precentral,supramarginal,1,TRUE,FALSE
caudalmiddlefrontal,Caudate,1,FALSE,FALSE
parsopercularis,Caudate,1,FALSE,FALSE
parstriangularis,Caudate,1,FALSE,FALSE
postcentral,Caudate,1,FALSE,FALSE
precentral,Caudate,1,FALSE,FALSE
precentral,Caudate,1,FALSE,FALSE
precentral,Caudate,1,FALSE,FALSE
rostralmiddlefrontal,Caudate,1,FALSE,FALSE
superiortemporal,Caudate,1,FALSE,FALSE
supramarginal,Caudate,1,FALSE,FALSE
