Before TP,After TP,Across TP
0.39871794871794947,0.499640449438202,0.3753355704697997
0.41499999999999976,0.4443032786885253,0.6308104395604385
0.7543319268635729,0.4064366197183099,0.55846694796062
0.5811034482758602,0.44541095890410815,0.5734421768707519
0.6690524193548388,0.1623809523809517,0.252465483234714
1.0,1.0,1.0
0.6301606425702839,0.47369565217391346,0.29627631578947317
0.94107452339688,0.9415537190082648,0.6945945945945963
0.18105603448275867,0.231663066954643,0.20297941495124602
0.7249588719153934,0.5308995327102809,0.507642276422765
0.7221568627450984,0.7824839948783587,0.6958064516129047
0.8593943298969063,0.6002048655569753,0.7198081841432229
0.46616949152542536,0.3718663594470052,0.206701030927836
0.7331133250311337,0.31802238805970284,0.3798602287166472
0.6539256198347116,0.1528488372093017,0.2710371819960861
0.3233098591549298,0.2550813953488353,0.3160613207547167
0.6327551020408178,0.24247119078104995,0.5044218551461251
0.5600351288056203,0.5417890995260651,0.52835731414868
0.3280649188514383,0.20912408759124043,0.33564102564102544
0.41914425427872837,0.185499383477189,0.14146401985111645
0.5662176870748279,0.04799736495388677,0.15945280437756412
1.0,1.0,1.0
0.46008486562941986,0.06150627615062786,0.17998583569405127
0.2500242130750601,0.39437125748503027,0.09790048543689371
0.2369943502824859,0.2584192825112105,0.13356086461888514
0.17264119601328898,0.16781725888324875,0.07975206611570249
0.0,0.0,0.0
0.26995469988675064,0.15744054360135867,0.17071753986332494
0.07817861339600458,0.1277294117647058,0.18025210084033552
0.09812566560170372,0.21032644178454793,0.11418181818181765
0.0,0.0,0.0
0.5472342857142879,0.46742824339839345,0.3074971558589308
0.05657142857142829,0.2318036809815957,0.157346938775511
0.07849411764705853,0.18092233009708641,0.16682142857142937
1.0,1.0,1.0
1.0,1.0,1.0
0.4815789473684218,0.4957619047619081,0.2471310507674151
0.39760547320410494,0.4703337169159972,0.27796839729119843
0.6209552238805975,0.7732522796352607,0.6214117647058821
0.6504921259842525,0.17036585365853588,0.24740124740124741
1.0,1.0,1.0
0.39561236623067997,0.30624153498871287,0.2779861111111133
0.416426858513189,0.34375576036866523,0.2685357142857159
0.33626936829558945,0.3115451174289247,0.28788782816229425
0.5192558139534862,0.414900351699883,0.20086347724620826
0.42661870503597177,0.29380499405469884,0.30586206896552076
0.840778210116733,0.3363786008230445,0.7381889763779528
0.6988728702490186,0.6208395989974959,0.620349740932648
0.629419847328245,0.8581061692969904,0.48395833333333355
0.7118914473684219,0.6065635738831616,0.4170668953687822
0.709149198520346,0.624480600750939,0.5368039950062448
1.0,1.0,1.0
1.0,1.0,1.0
0.8356321839080476,0.325188284518828,0.7421259842519685
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.3589389534883725,0.8619969512195145,0.5533834586466171
0.46572241183162416,0.5110336817653877,0.37840728100113785
0.5815797317436657,0.5480945347119641,0.5603576751117735
0.45345537757437193,0.481156462585035,0.4202968036529698
0.5040931989924443,0.5786674968866781,0.33615671641790895
0.5736397058823519,0.7097472924187731,0.5060984393757489
0.3711084043848959,0.6098161764705854,0.4908557457212704
0.6164795321637421,0.5217936117936115,0.48522424242424084
0.774154228855725,0.5192803030303043,0.522713567839198
0.43548825710754113,0.8433291925465847,0.5414925373134334
