Before TP,After TP,Across TP
0.32377000000000067,0.309,0.33220999999999984
0.29,0.3344199999999998,0.3189299999999997
0.31166000000000016,0.297660000000001,0.3106999999999999
0.22297000000000117,0.2204799999999995,0.2208299999999996
0.4694999999999995,0.46275000000000044,0.4704399999999995
0.46840000000000015,0.4627500000000002,0.4663699999999998
0.4704099999999992,0.451,0.4648199999999996
0.24963000000000216,0.2434399999999999,0.24732999999999994
0.4236399999999982,0.42298000000000036,0.4213299999999992
0.3311900000000013,0.3263799999999998,0.32864999999999883
0.3960400000000011,0.38,0.3968000000000023
0.3976400000000003,0.39818999999999943,0.40166999999999914
0.27881999999999957,0.2925499999999998,0.2932999999999997
0.16786999999999933,0.17038999999999885,0.16534000000000038
0.181,0.17179999999999893,0.16999999999999896
0.181,0.17006999999999933,0.17173000000000072
0.17403999999999964,0.16683999999999824,0.16885000000000042
0.21584000000000145,0.21217999999999976,0.21593999999999966
0.108,0.11227000000000005,0.10909999999999977
0.096,0.11011999999999982,0.11235999999999911
0.32338999999999996,0.32234000000000096,0.3257600000000006
0.16376,0.172,0.16356000000000037
0.308,0.2982900000000013,0.29410000000000036
0.313,0.29466000000000137,0.3004999999999997
0.278,0.29006000000000126,0.2986100000000001
0.28,0.2970100000000013,0.29803999999999964
0.317,0.2956400000000017,0.29712999999999956
0.288,0.29558000000000045,0.2978699999999999
0.3,0.2958100000000017,0.29395000000000027
0.268,0.29950000000000165,0.2933
0.3550799999999992,0.3694000000000002,0.3659599999999985
0.36,0.36517999999999967,0.36576999999999965
0.393,0.36,0.3835
0.36386000000000035,0.37119999999999975,0.36670000000000036
0.45,0.42696999999999896,0.43838000000000016
0.425,0.4396199999999998,0.4331599999999992
0.446,0.4270399999999987,0.44019000000000014
0.454,0.4361600000000002,0.44245999999999863
0.3668300000000021,0.34,0.3559700000000015
0.4979399999999998,0.48377999999999993,0.48665000000000047
0.4912800000000001,0.488,0.4944000000000001
0.405,0.41047000000000144,0.40675000000000266
