Before TP,After TP,Across TP
0.2788899999999994,0.275,0.2803599999999999
0.264,0.28605999999999926,0.2828599999999999
0.20989999999999925,0.20205000000000137,0.21026000000000009
0.09949999999999964,0.0962999999999998,0.09637999999999944
0.22049999999999886,0.22458999999999918,0.21894999999999756
0.22061999999999907,0.21653999999999918,0.22273000000000015
0.2247899999999994,0.227,0.21614000000000014
0.23677000000000192,0.2390899999999995,0.2363699999999998
0.2551400000000006,0.25816,0.25278000000000017
0.23200000000000068,0.23074999999999915,0.22948000000000035
0.20977999999999852,0.198,0.20617999999999911
0.20717000000000052,0.19972000000000148,0.2087700000000003
0.08673000000000043,0.09527999999999928,0.0869499999999999
0.08797000000000046,0.08506999999999944,0.07920999999999988
0.081,0.0818,0.0835000000000001
0.079,0.08428000000000045,0.07912000000000002
0.08351000000000042,0.08551999999999926,0.08243999999999971
0.08398999999999975,0.08357999999999975,0.07962999999999952
0.039,0.042689999999999964,0.04339999999999991
0.05,0.04408999999999975,0.042800000000000164
0.26483000000000007,0.2665800000000004,0.26803000000000016
0.11068000000000014,0.113,0.10832000000000061
0.26,0.25161000000000117,0.2544999999999999
0.238,0.25339999999999974,0.2526199999999992
0.256,0.2529900000000022,0.23998999999999973
0.266,0.25290000000000123,0.24901999999999985
0.263,0.25394000000000116,0.25165999999999983
0.253,0.2519400000000001,0.25338999999999967
0.263,0.2548000000000011,0.24774999999999994
0.252,0.2511400000000011,0.2549500000000002
0.22552000000000147,0.2173999999999987,0.21990999999999955
0.224,0.19676000000000132,0.22833999999999952
0.219,0.21,0.21875
0.21585999999999916,0.2169999999999987,0.22214999999999963
0.231,0.21583000000000135,0.21696999999999939
0.205,0.22075999999999973,0.21626000000000048
0.225,0.2147500000000013,0.22282999999999958
0.228,0.22089999999999943,0.2151100000000005
0.19048999999999874,0.195,0.20037999999999906
0.2968300000000009,0.30684000000000056,0.29621000000000075
0.2983400000000004,0.283,0.29551999999999956
0.276,0.29223000000000043,0.29084000000000093
